model,harness,benchmark,task_id,sample,correct,mean_entropy,n_tokens
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_191,0,1,0.08276389477930876,4194.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_206,0,1,0.13262017850268926,10348.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_207,0,1,0.21103409595838224,13737.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_214,0,0,0.018231801531700783,19037.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_242,0,0,0.12593057196216872,17214.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_250,0,1,0.09605278582365451,2744.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_266,0,0,0.026764133956405093,19118.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_278,0,1,0.145314796500143,1379.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_307,0,1,0.12001714258818755,8865.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_312,0,1,0.09191105760024293,15770.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_320,0,1,0.10371064322109,3656.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_336,0,1,0.08178701800340346,1503.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_359,0,0,0.032898263700377135,19023.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_361,0,1,0.1408456812684198,4468.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_391,0,0,0.1336012458386265,19585.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_392,0,0,0.17892376683405198,7709.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_395,0,0,0.0767119096479684,19000.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_403,0,0,0.13719581163448566,12507.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_41,0,1,0.0744615932329945,10484.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_413,0,1,0.08876412056391085,3566.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_416,0,0,0.3786453841390809,6132.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_442,0,0,0.12467137533057558,18890.0
