benchmark,harness,outcome,metric,trajectory_records,missing,count,mean,median,std,min,p25,p75,max
AIMEPass4,ZeroClaw,success,action_event_count,83,0,83,93.493976,52.000000,82.094476,23.000000,37.500000,132.500000,455.000000
AIMEPass4,ZeroClaw,success,tool_call_count,83,0,83,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
GPQA,DirectLLM,failure,mean_entropy,39,0,39,0.294571,0.318769,0.162164,0.019576,0.170864,0.389776,0.620852
GPQA,DirectLLM,failure,max_entropy,39,0,39,2.726352,2.725714,0.072417,2.584879,2.672852,2.796218,2.848016
GPQA,DirectLLM,failure,p50_entropy,39,0,39,0.050659,0.005133,0.105837,0.000012,0.000049,0.024689,0.392245
GPQA,DirectLLM,failure,p90_entropy,39,0,39,0.955453,1.155558,0.517416,0.000134,0.719292,1.311748,1.674278
GPQA,DirectLLM,failure,n_tokens,39,0,39,19534.076923,15175.000000,9765.773593,5347.000000,12177.500000,32768.000000,32768.000000
GPQA,DirectLLM,failure,wall_time_sec,39,0,39,557.910493,438.717452,314.030672,175.225210,312.688601,786.633661,1073.001832
GPQA,DirectLLM,failure,action_event_count,39,0,39,857.282051,553.000000,721.490229,59.000000,388.500000,1278.000000,2282.000000
GPQA,DirectLLM,failure,tool_call_count,39,0,39,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
GPQA,DirectLLM,success,mean_entropy,159,0,159,0.322206,0.316161,0.097772,0.113099,0.252856,0.377757,0.610228
GPQA,DirectLLM,success,max_entropy,159,0,159,2.669344,2.672853,0.093676,2.398827,2.603179,2.730223,2.877693
GPQA,DirectLLM,success,p50_entropy,159,0,159,0.031051,0.004475,0.064853,0.000048,0.000733,0.021661,0.363151
GPQA,DirectLLM,success,p90_entropy,159,0,159,1.109784,1.114214,0.239379,0.463246,0.962534,1.285381,1.669321
GPQA,DirectLLM,success,n_tokens,159,0,159,9049.666667,8554.000000,3548.254597,2882.000000,6726.500000,10861.500000,23407.000000
GPQA,DirectLLM,success,wall_time_sec,159,0,159,246.977520,232.314977,106.286354,90.029075,164.858546,305.773123,760.586439
GPQA,DirectLLM,success,action_event_count,159,0,159,208.088050,132.000000,198.018625,33.000000,74.000000,279.500000,1098.000000
GPQA,DirectLLM,success,tool_call_count,159,0,159,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
GPQA,OpenClaw,failure,mean_entropy,67,0,67,0.120127,0.037977,0.146159,0.000000,0.021416,0.177857,0.498951
GPQA,OpenClaw,failure,max_entropy,67,0,67,2.190850,2.520025,0.880755,0.000000,2.402451,2.646395,2.912335
GPQA,OpenClaw,failure,p50_entropy,67,0,67,0.016799,0.000742,0.051445,0.000000,0.000509,0.001184,0.296662
GPQA,OpenClaw,failure,p90_entropy,67,0,67,0.347182,0.007735,0.496797,0.000000,0.003626,0.709568,1.373379
GPQA,OpenClaw,failure,n_tokens,67,9,58,28283.603448,20982.500000,25593.202927,301.000000,3872.250000,50176.750000,85143.000000
GPQA,OpenClaw,failure,wall_time_sec,67,0,67,2859.341502,3350.807973,2194.270275,56.706454,600.800580,3603.145185,7287.902585
GPQA,OpenClaw,failure,action_event_count,67,0,67,307.089552,200.000000,312.488315,1.000000,30.500000,544.000000,1152.000000
GPQA,OpenClaw,failure,tool_call_count,67,0,67,0.701493,0.000000,2.369047,0.000000,0.000000,0.000000,17.000000
GPQA,OpenClaw,success,mean_entropy,131,0,131,0.247818,0.239430,0.097631,0.000000,0.176376,0.330208,0.497329
GPQA,OpenClaw,success,max_entropy,131,0,131,2.272836,2.353527,0.431596,0.000000,2.123181,2.526746,2.765767
GPQA,OpenClaw,success,p50_entropy,131,0,131,0.019034,0.004303,0.033561,0.000000,0.001248,0.022638,0.249187
GPQA,OpenClaw,success,p90_entropy,131,0,131,0.869339,0.889884,0.284844,0.000000,0.712525,1.070601,1.382458
GPQA,OpenClaw,success,n_tokens,131,3,128,2372.937500,1565.500000,1916.182707,784.000000,1207.250000,2817.500000,13718.000000
GPQA,OpenClaw,success,wall_time_sec,131,0,131,1052.822897,529.692103,1411.570702,56.897627,178.328981,1118.767135,7430.450869
GPQA,OpenClaw,success,action_event_count,131,0,131,26.305344,21.000000,20.844350,4.000000,14.000000,31.000000,149.000000
GPQA,OpenClaw,success,tool_call_count,131,0,131,1.366412,1.000000,2.858511,0.000000,0.000000,2.000000,29.000000
GPQA,OpenCode,failure,mean_entropy,52,0,52,0.276491,0.300787,0.155861,0.000000,0.147406,0.402796,0.542852
GPQA,OpenCode,failure,max_entropy,52,0,52,2.375729,2.580228,0.700735,0.000000,2.497508,2.658840,2.807639
GPQA,OpenCode,failure,p50_entropy,52,0,52,0.050228,0.007627,0.081388,0.000000,0.001179,0.044581,0.307210
GPQA,OpenCode,failure,p90_entropy,52,0,52,0.906894,1.079721,0.472303,0.000000,0.576778,1.294379,1.542807
GPQA,OpenCode,failure,n_tokens,52,4,48,3244.083333,2223.000000,2235.343410,149.000000,1119.500000,5805.250000,5828.000000
GPQA,OpenCode,failure,wall_time_sec,52,0,52,657.278553,439.709701,1086.944389,56.704895,271.309071,440.933529,6872.904730
GPQA,OpenCode,failure,action_event_count,52,0,52,65.634615,66.000000,39.614988,0.000000,43.500000,80.500000,216.000000
GPQA,OpenCode,failure,tool_call_count,52,0,52,0.365385,0.000000,0.941130,0.000000,0.000000,0.000000,4.000000
GPQA,OpenCode,success,mean_entropy,145,0,145,0.301411,0.298904,0.108583,0.094922,0.222062,0.370182,0.601633
GPQA,OpenCode,success,max_entropy,145,0,145,2.289056,2.308881,0.309663,1.402977,2.035742,2.546120,2.873856
GPQA,OpenCode,success,p50_entropy,145,0,145,0.043034,0.011290,0.067803,0.000130,0.002812,0.055529,0.369812
GPQA,OpenCode,success,p90_entropy,145,0,145,1.012912,1.013591,0.266105,0.346138,0.821760,1.195563,1.651631
GPQA,OpenCode,success,n_tokens,145,0,145,1066.744828,936.000000,505.815992,167.000000,704.000000,1322.000000,3180.000000
GPQA,OpenCode,success,wall_time_sec,145,0,145,894.929973,246.745901,1693.619579,38.226529,141.711971,519.832025,9104.155899
GPQA,OpenCode,success,action_event_count,145,0,145,48.958621,46.000000,17.671280,10.000000,38.000000,58.000000,134.000000
GPQA,OpenCode,success,tool_call_count,145,0,145,0.972414,1.000000,1.185806,0.000000,0.000000,2.000000,7.000000
GPQA,OpenCode,unknown,mean_entropy,1,0,1,0.045275,0.045275,0.000000,0.045275,0.045275,0.045275,0.045275
GPQA,OpenCode,unknown,max_entropy,1,0,1,2.802661,2.802661,0.000000,2.802661,2.802661,2.802661,2.802661
GPQA,OpenCode,unknown,p50_entropy,1,0,1,0.000742,0.000742,0.000000,0.000742,0.000742,0.000742,0.000742
GPQA,OpenCode,unknown,p90_entropy,1,0,1,0.015988,0.015988,0.000000,0.015988,0.015988,0.015988,0.015988
GPQA,OpenCode,unknown,n_tokens,1,0,1,19310.000000,19310.000000,0.000000,19310.000000,19310.000000,19310.000000,19310.000000
