benchmark,harness,outcome,metric,trajectory_records,missing,count,mean,median,std,min,p25,p75,max
GPQA,DirectLLM,success,p50_entropy,165,0,165,0.003625,0.000190,0.012984,0.000006,0.000077,0.001019,0.133689
GPQA,DirectLLM,success,p90_entropy,165,0,165,0.758086,0.748398,0.237394,0.099365,0.630827,0.919521,1.321700
GPQA,DirectLLM,success,n_tokens,165,0,165,6042.672727,5375.000000,3115.033302,1148.000000,3556.000000,8227.000000,16772.000000
GPQA,DirectLLM,success,wall_time_sec,165,0,165,638.578107,528.230144,411.491380,96.062949,343.831834,824.819307,2056.335984
GPQA,DirectLLM,success,action_event_count,165,0,165,8.527273,8.000000,3.559986,4.000000,7.000000,9.000000,24.000000
GPQA,DirectLLM,success,tool_call_count,165,0,165,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
GPQA,OpenClaw,failure,mean_entropy,27,0,27,0.263712,0.243411,0.077638,0.131394,0.231165,0.304444,0.467019
GPQA,OpenClaw,failure,max_entropy,27,0,27,2.522128,2.550448,0.142193,2.040370,2.451162,2.592513,2.855285
GPQA,OpenClaw,failure,p50_entropy,27,0,27,0.020560,0.001571,0.047791,0.000024,0.000315,0.012815,0.234787
GPQA,OpenClaw,failure,p90_entropy,27,0,27,0.940744,0.941420,0.173786,0.557992,0.890615,1.046255,1.299929
GPQA,OpenClaw,failure,n_tokens,27,0,27,10124.888889,8194.000000,5892.445699,1866.000000,5782.500000,13799.500000,24214.000000
GPQA,OpenClaw,failure,wall_time_sec,27,0,27,312.063748,281.293078,190.188587,49.378903,177.061248,395.791254,825.069069
GPQA,OpenClaw,failure,action_event_count,27,0,27,11.666667,10.000000,4.626814,5.000000,8.500000,14.000000,25.000000
GPQA,OpenClaw,failure,tool_call_count,27,0,27,3.333333,2.000000,4.529737,0.000000,0.000000,4.500000,17.000000
GPQA,OpenClaw,success,mean_entropy,169,0,169,0.200916,0.192918,0.074045,0.042067,0.148782,0.253056,0.404554
GPQA,OpenClaw,success,max_entropy,169,0,169,2.461355,2.485549,0.174687,1.626845,2.380711,2.576636,2.746434
GPQA,OpenClaw,success,p50_entropy,169,0,169,0.003777,0.000227,0.010753,0.000002,0.000075,0.001598,0.095344
GPQA,OpenClaw,success,p90_entropy,169,0,169,0.755047,0.750724,0.242954,0.000472,0.634293,0.943201,1.214908
GPQA,OpenClaw,success,n_tokens,169,0,169,4952.165680,4067.000000,3814.644894,636.000000,2294.000000,6465.000000,29900.000000
GPQA,OpenClaw,success,wall_time_sec,169,0,169,150.127561,121.791050,116.789938,17.437357,76.568033,191.671898,892.943542
GPQA,OpenClaw,success,action_event_count,169,0,169,8.775148,9.000000,2.798410,2.000000,7.000000,10.000000,19.000000
GPQA,OpenClaw,success,tool_call_count,169,0,169,0.775148,0.000000,1.353181,0.000000,0.000000,1.000000,12.000000
GPQA,OpenClaw,unknown,mean_entropy,2,0,2,0.265151,0.265151,0.008464,0.256687,0.260919,0.269383,0.273615
GPQA,OpenClaw,unknown,max_entropy,2,0,2,2.677897,2.677897,0.101205,2.576692,2.627294,2.728499,2.779102
GPQA,OpenClaw,unknown,p50_entropy,2,0,2,0.002430,0.002430,0.000940,0.001490,0.001960,0.002901,0.003371
GPQA,OpenClaw,unknown,p90_entropy,2,0,2,0.959104,0.959104,0.020119,0.938985,0.949045,0.969164,0.979224
GPQA,OpenClaw,unknown,n_tokens,2,0,2,9040.500000,9040.500000,27.500000,9013.000000,9026.750000,9054.250000,9068.000000
GPQA,OpenClaw,unknown,wall_time_sec,2,0,2,279.076904,279.076904,9.491222,269.585682,274.331293,283.822515,288.568126
GPQA,OpenClaw,unknown,action_event_count,2,0,2,10.500000,10.500000,0.500000,10.000000,10.250000,10.750000,11.000000
GPQA,OpenClaw,unknown,tool_call_count,2,0,2,4.500000,4.500000,0.500000,4.000000,4.250000,4.750000,5.000000
