model,harness,benchmark,task_id,sample,correct,mean_entropy,n_tokens
Gemma4-31B,directllm,GPQA,gpqa_106,0,0,0.006086179720848704,83763
Gemma4-31B,directllm,GPQA,gpqa_107,0,1,0.16665764433760763,10607
Gemma4-31B,directllm,GPQA,gpqa_108,0,0,0.2435640987496034,12523
Gemma4-31B,directllm,GPQA,gpqa_109,0,0,0.2081126653593142,8662
Gemma4-31B,directllm,GPQA,gpqa_11,0,1,0.21088462641516023,4351
Gemma4-31B,directllm,GPQA,gpqa_110,0,0,0.2684403138844344,7685
Gemma4-31B,directllm,GPQA,gpqa_111,0,1,0.19798516205612252,10641
Gemma4-31B,directllm,GPQA,gpqa_112,0,0,0.19590353950245126,8750
Gemma4-31B,directllm,GPQA,gpqa_113,0,1,0.234867532278668,5064
Gemma4-31B,directllm,GPQA,gpqa_114,0,1,0.2581124962128095,7122
Gemma4-31B,directllm,GPQA,gpqa_115,0,1,0.30744157811152023,6137
Gemma4-31B,directllm,GPQA,gpqa_116,0,0,0.19633847683228223,12022
Gemma4-31B,directllm,GPQA,gpqa_117,0,1,0.3255457562918351,5977
Gemma4-31B,directllm,GPQA,gpqa_118,0,1,0.21156432632434408,6096
Gemma4-31B,directllm,GPQA,gpqa_119,0,1,0.3037629686713873,6328
Gemma4-31B,directllm,GPQA,gpqa_12,0,1,0.17022291369168535,9067
Gemma4-31B,directllm,GPQA,gpqa_120,0,0,0.19632913121443596,9816
Gemma4-31B,directllm,GPQA,gpqa_121,0,1,0.21807371103839868,2022
Gemma4-31B,directllm,GPQA,gpqa_122,0,1,0.2641634714250826,8171
Gemma4-31B,directllm,GPQA,gpqa_123,0,1,0.22070780493778314,7043
Gemma4-31B,directllm,GPQA,gpqa_124,0,1,0.21931577087737414,8957
Gemma4-31B,directllm,GPQA,gpqa_125,0,1,0.2235653078371911,9412
Gemma4-31B,directllm,GPQA,gpqa_126,0,1,0.16986740441160558,9413
Gemma4-31B,directllm,GPQA,gpqa_127,0,1,0.18374829278266558,13236
Gemma4-31B,directllm,GPQA,gpqa_128,0,1,0.15135551562193633,12950
Gemma4-31B,directllm,GPQA,gpqa_129,0,0,0.2336968262582702,9150
Gemma4-31B,directllm,GPQA,gpqa_13,0,1,0.15388518467228798,1898
Gemma4-31B,directllm,GPQA,gpqa_130,0,1,0.2603162144821051,3929
Gemma4-31B,directllm,GPQA,gpqa_131,0,1,0.234410460804221,8454
Gemma4-31B,directllm,GPQA,gpqa_132,0,1,0.2688548177263109,9086
Gemma4-31B,directllm,GPQA,gpqa_133,0,1,0.21713502644838747,6070
Gemma4-31B,directllm,GPQA,gpqa_134,0,1,0.20573224138494392,8725
